menu_name,calories,protein_g,fat_g,carbs_g
牛皿ミニ,219,11.1,16.2,7.3
牛皿並盛,317,16,23.6,10.3
牛皿中盛,460,23.1,34.7,14.1
牛皿２倍盛,622,31.1,47,18.6
牛皿３倍盛,926,46.3,70.5,26.9
牛皿４倍盛,1232,61.3,93.9,35.3
牛皿５倍盛,1537,76.4,117.4,43.6
牛丼ミニ,496,15.7,17.2,69.9
牛丼並盛,732,22.9,25,104.1
牛丼中盛,798,28.4,35.8,91.1
牛丼大盛,967,30.1,32.4,138.6
牛丼特盛,1176,40.4,48.9,143.7
牛丼メガ,1458,54.3,71,150.8
鬼おろしポン酢牛丼ミニ,522,16.7,17.3,74.5
鬼おろしポン酢牛丼並盛,758,24,25.1,108.7
鬼おろしポン酢牛丼中盛,824,29.4,35.9,95.7
鬼おろしポン酢牛丼大盛,993,31.1,32.5,143.2
鬼おろしポン酢牛丼特盛,1202,41.4,49,148.3
鬼おろしポン酢牛丼メガ,1484,55.3,71.1,155.4
ねぎ玉牛丼ミニ,603,23.4,23.7,74.9
ねぎ玉牛丼並盛,839,30.6,31.5,109.1
ねぎ玉牛丼中盛,910,36.1,42.3,96.1
ねぎ玉牛丼大盛,1074,37.8,38.9,143.6
ねぎ玉牛丼特盛,1283,48.1,55.4,148.7
ねぎ玉牛丼メガ,1565,62,77.5,155.8
とろ～り3種のチーズ牛丼ミニ,659,26,29.4,72.9
とろ～り3種のチーズ牛丼並盛,895,33.2,37.2,107.1
とろ～り3種のチーズ牛丼中盛,961,38.7,48,94.1
とろ～り3種のチーズ牛丼大盛,1130,40.4,44.6,141.6
とろ～り3種のチーズ牛丼特盛,1339,50.7,61.1,146.7
とろ～り3種のチーズ牛丼メガ,1621,64.6,83.2,153.8
わさび山かけ牛丼ミニ,549,17.2,17.3,81.2
わさび山かけ牛丼並盛,785,24.4,25.1,115.4
わさび山かけ牛丼中盛,850,29.9,35.9,102.5
わさび山かけ牛丼大盛,1020,31.6,32.5,149.9
わさび山かけ牛丼特盛,1229,41.9,49,155
わさび山かけ牛丼メガ,1511,55.8,71.1,162.1
かつぶしオクラ牛丼ミニ,516,17.5,17.3,73.6
かつぶしオクラ牛丼並盛,752,24.7,25.1,107.8
かつぶしオクラ牛丼中盛,818,30.2,35.9,94.8
かつぶしオクラ牛丼大盛,987,31.9,32.5,142.3
かつぶしオクラ牛丼特盛,1196,42.2,49,147.4
かつぶしオクラ牛丼メガ,1478,56.1,71.1,154.5
高菜明太マヨ牛丼ミニ,593,17.3,25.1,74
高菜明太マヨ牛丼並盛,829,24.5,32.9,108.2
高菜明太マヨ牛丼中盛,895,30,43.7,95.2
高菜明太マヨ牛丼大盛,1064,31.7,40.3,142.7
高菜明太マヨ牛丼特盛,1273,42,56.8,147.8
高菜明太マヨ牛丼メガ,1555,55.9,78.9,154.9
キムチ牛丼ミニ,526,17.3,17.6,74.9
キムチ牛丼並盛,762,24.5,25.4,109.1
キムチ牛丼中盛,828,30,36.2,96.1
キムチ牛丼大盛,997,31.7,32.8,143.6
キムチ牛丼特盛,1206,42,49.3,148.7
キムチ牛丼メガ,1488,55.9,71.4,155.8
めかぶオクラ牛丼ミニ,519,17.8,17.5,74.6
めかぶオクラ牛丼並盛,755,25,25.3,108.8
めかぶオクラ牛丼中盛,821,30.5,36.1,95.8
めかぶオクラ牛丼大盛,990,32.2,32.7,143.3
めかぶオクラ牛丼特盛,1199,42.5,49.2,148.4
めかぶオクラ牛丼メガ,1481,56.4,71.3,155.5
山かけめかぶオクラ牛丼ミニ,571,19.3,17.6,86
