menu_name,calories,protein_g,fat_g,carbs_g
えびフィレオ®,399,11,17.1,50.9
てりやきチキンフィレオ,498,19.9,23.1,53.4
てりやきマックバーガー,477,14.5,30.2,37.5
エグチ(エッグチーズバーガー),390,22.4,19,31.2
エッグマックマフィン®,310,18.6,13.6,27.2
スパチキ(スパイシーマックチキン),405,14.3,21.3,39.6
ソーセージエッグマフィン,477,21.9,30.6,27.3
ソーセージマフィン,397,15.5,25.1,27.1
ダブルチーズバーガー,459,26.4,25.1,31.8
チーズアボカドマヨシュリンプ,474,14,22.9,53.5
チーズバーガー,310,15.9,13.5,31.1
チキチー® (マックチキン® チーズ),448,17.1,24.1,41.3
チキンフィレオ®,473,19.7,22.8,48
チキンマックマフィン,388,15.8,19,38.2
ハンバーガー,259,13,9.5,30.3
バターパット,60,0,6.6,0
ビッグマック®,525,26.1,28,42
フィレオフィッシュ®,338,15,14.2,37.4
ベーコンエッグマックサンド,294,16.3,12.6,27.9
ベーコンレタスバーガー,368,17.5,20.3,29.5
ホットケーキ,323,8.3,9.3,53.5
ホットケーキシロップ,121,0,0,30.3
マックグリドル® ソーセージ,414,10.5,23.4,40.4
マックグリドル® ソーセージエッグ,545,19.8,32.9,41.3
マックグリドル® ベーコンエッグ,382,15.6,16.7,41.3
マックチキン®,398,14.2,20.1,40.5
メガマフィン,693,30,49.3,31.2
旨辛ザクザクジューシーチキン,489,17.4,25.5,48
肉厚ビーフ&ガーリックオニオンビーフ,477,23.6,26.2,37.3
倍えびフィレオ,570,16.6,24.7,70.9
倍てりやきチキンフィレオ,773,34.6,36.6,77.4
倍てりやきマックバーガー,731,23.9,50.7,45.6
倍エグチ(倍エッグチーズバーガー),489,29.9,26.6,31.2
倍スパチキ(倍スパイシーマックチキン),580,23.4,31.7,50.8
倍ダブルチーズバーガー,657,41.5,40.3,31.8
倍チーズバーガー,408,23.5,21.1,31.1
倍チキチー(倍マックチキン チーズ),623,26.2,34.5,52.4
倍チキンフィレオ,721,34.2,36.2,65.4
倍ハンバーガー,358,20.6,17.1,30.3
倍ビッグマック,723,41.3,43.1,42
倍フィレオフィッシュ,453,23.4,19.1,46.9
倍ベーコンレタスバーガー,467,25,27.9,29.5
倍マックチキン,573,23.3,30.5,51.7
炙り醤油風 たまごベーコン肉厚ビーフ,511,30.8,26.2,37.5
炙り醤油風 ダブル肉厚ビーフ,620,38.1,35.6,37.6
チーズチーズてりやきマックバーガー,578,20.4,38.2,38.9
チーズチーズダブルチーズバーガー,561,32.3,33.2,33.1
えだまめコーン,83,5.2,3,9.6
りんご&クリーム,31,0.2,1.5,4.2
グランドフライ,721,9.8,35,92.3
ケチャップ,23,0.4,0.1,5.5
サイドサラダ,10,0.5,0.1,2.3
サワークリームペッパーソース,83,0.2,8.3,1.7
シャカチキ,248,14.5,13.4,17.4
シャカチキ チェダーチーズ味シーズニング,8,0.3,0.1,1.3
シャカチキ レッドペッパー味シーズニング,5,0.3,0,1
スパイシーチキンマックナゲット 5ピース,263,15.2,16.7,12.9
ソフトツイスト,147,4,3.8,24.3
チキンマックナゲット® 15ピース,786,46,47.8,43.2
チキンマックナゲット® 5ピース,262,15.3,15.9,14.4
ハッシュポテト,157,1.4,10.2,14.8
バーベキューソース,33,0.2,0.2,7.6
プチパンケーキ,161,3.8,4.4,26.4
ホットアップルパイ,211,2.1,10.9,26.2
ホットハラペーニョマヨソース,90,0.3,9,1.9
ポテナゲ大,1039,37.6,56.9,94.8
ポテナゲ特大,1816,59.9,97.8,175.2
マスタードソース,46,0.4,2.6,5.1
マックフライポテト®(L),515,7,25,66
マックフライポテト®(M),409,5.5,19.8,52.4
マックフライポテト®(S),224,3,10.9,28.7
マックフルーリー® オレオ® クッキー,234,5.9,6.8,37.5
マックフルーリー® 超 オレオ® クッキー,354,7.9,10.9,56.7
食べくらべポテナゲ大,1040,37.5,57.7,93.3
食べくらべポテナゲ特大,1817,59.8,98.6,173.6
低カロリー玉ねぎ,5,0.3,0,0.9
焙煎ごまドレッシング,65,0.4,5.9,2.3
Qoo 白ぶどう(L),192,0,0,48.9
Qoo 白ぶどう(M),149,0,0,37.9
Qoo 白ぶどう(S),96,0,0,24.4
アールグレイ アイスティー(ストレート)(L),0,0,0,0
アールグレイ アイスティー(ストレート)(M),0,0,0,0
アールグレイ アイスティー(ストレート)(S),0,0,0,0
アールグレイ アイスティー(ミルク)(L),9,0.2,0.9,0.1
アールグレイ アイスティー(ミルク)(M),9,0.2,0.9,0.1
アールグレイ アイスティー(ミルク)(S),9,0.2,0.9,0.1
アールグレイ アイスティー(レモン)(L),1,0,0,0.3
アールグレイ アイスティー(レモン)(M),1,0,0,0.3
アールグレイ アイスティー(レモン)(S),1,0,0,0.3
アイスカフェラテ(M),104,5.2,5.7,7.9
アイスカフェラテ(S),74,3.7,4,5.5
アイスキャラメルラテ(M),155,5.2,5.7,20.4
アイスキャラメルラテ(S),125,3.7,4.1,18.1
カフェラテ(M),121,6,6.7,9.1
カフェラテ(S),86,4.3,4.8,6.5
ガムシロップ,19,0,0,4.7
キャラメルラテ(M),172,6,6.7,21.6
キャラメルラテ(S),137,4.3,4.8,19
グランドQoo 白ぶどう,297,0,0,75.7
グランドコーク,291,0,0,73
グランドコーク ゼロ,0,0,0,0
グランドスプライト,257,0,0,64.2
グランドファンタ グレープ,328,0,0,82
グランドファンタ メロン,328,0,0,82
グランド爽健美茶,0,0,0,0
コーヒーフレッシュ,9,0.2,0.9,0.1
コカ・コーラ ゼロ(L),0,0,0,0
コカ・コーラ ゼロ(M),0,0,0,0
コカ・コーラ ゼロ(S),0,0,0,0
コカ・コーラ(L),188,0,0,47.2
コカ・コーラ(M),145,0,0,36.5
コカ・コーラ(S),94,0,0,23.5
サントリー黒烏龍茶#濃いめ,5,0,0,1
シュガー,12,0,0,3
スプライト(L),166,0,0,41.5
スプライト(M),128,0,0,32.1
スプライト(S),83,0,0,20.7
ファンタ グレープ(L),212,0,0,52.9
ファンタ グレープ(M),164,0,0,40.9
ファンタ グレープ(S),106,0,0,26.5
ファンタ メロン(L),212,0,0,52.9
ファンタ メロン(M),164,0,0,40.9
ファンタ メロン(S),106,0,0,26.5
プレミアムローストアイスコーヒー(L),15,0.9,0,2.4
プレミアムローストアイスコーヒー(M),11,0.7,0,1.8
プレミアムローストアイスコーヒー(S),8,0.5,0,1.2
プレミアムローストコーヒー(M),12,0.9,0,1.8
プレミアムローストコーヒー(S),7,0.5,0,1.1
ホットティー(ストレート)(M),3,0.3,0,0.3
ホットティー(ストレート)(S),2,0.2,0,0.2
ホットティー(ミルク)(M),12,0.5,0.9,0.4
ホットティー(ミルク)(S),11,0.3,0.9,0.3
ホットティー(レモン)(M),4,0.3,0,0.6
ホットティー(レモン)(S),3,0.2,0,0.5
マックシェイク® ストロベリー(M),376,6.5,5.7,74.9
マックシェイク® ストロベリー(S),227,4.1,3.6,44.8
マックシェイク® チョコレート(M),386,7.5,6.2,75.9
