menu_name,calories,protein_g,fat_g,carbs_g
新とびきりチーズ～北海道チーズ～,479,21.9,24.7,42.2
ダブル新とびきりチーズ ～北海道チーズ～,707,35.6,40.2,50.4
バジルマヨの海老カツバーガー ～国産バジル～,426,14.3,21.5,44.7
海老エビフライバーガー,415,15.3,20.5,43.2
モスバーガー,373,15.2,17,40.1
テリヤキバーガー,384,14.4,18.2,40.6
テリヤキチキンバーガー,303,20.1,10.3,32.4
モスチーズバーガー,426,18.2,21.4,40.5
モス野菜バーガー,364,14.1,18.6,35.4
海老カツバーガー,397,14.5,19.3,42.2
ロースカツバーガー,410,16.6,16.4,49.7
フィッシュバーガー,381,16.2,18.8,37
チキンバーガー,386,15,18.5,40
ハンバーガー,314,13.7,13.2,35.2
チーズバーガー,367,16.7,17.6,35.6
ダブルモスバーガー,533,23.7,28.4,45.8
ダブルモスチーズバーガー,586,26.7,32.8,46.2
ダブルテリヤキバーガー,556,23,29.2,50.3
ダブルモス野菜バーガー,512,22.2,29.5,39.7
ダブルハンバーガー,462,21.8,24.1,39.5
ダブルチーズバーガー,515,24.8,28.5,39.9
スパイシーモスバーガー,375,15.3,17,40.5
スパイシーモスチーズバーガー,428,18.3,21.4,40.9
スパイシーダブルモスバーガー,535,23.8,28.4,46.2
スパイシーダブルモスチーズバーガー,588,26.8,32.8,46.6
グリーンバーガー〈テリヤキ〉,351,11,15.7,41.8
グリーンバーガー〈テリヤキ〉 ソース含まず,281,10.5,11.1,35.2
グリーンテリマヨソース（ベジタブル）,70,0.5,4.6,6.6
モスの菜摘モス野菜,224,9.1,16.5,10.4
モスの菜摘テリヤキチキン,186,15.1,10.7,7.7
モスの菜摘フィッシュ,239,11.1,16.5,11.5
モスの菜摘海老カツ,255,9.4,17,16.7
モスの菜摘ロースカツ,266,11.4,14,23.6
モスの菜摘チキン,244,9.9,16.3,14.6
モスの菜摘ソイモス野菜,203,6.8,13.8,13.7
ソイモスバーガー,352,12.9,14.3,43.4
ソイスパイシーモスバーガー,354,13,14.3,43.8
ソイモスチーズバーガー,405,15.9,18.7,43.8
ソイスパイシーモスチーズバーガー,407,16,18.7,44.2
ソイテリヤキバーガー,363,12.1,15.5,43.9
ソイモス野菜バーガー,343,11.8,15.9,38.7
ソイハンバーガー,293,11.4,10.5,38.5
ソイチーズバーガー,346,14.4,14.9,38.9
モスライスバーガー海鮮かきあげ （塩だれ）,372,8.5,10.5,61.3
モスライスバーガー焼肉,353,9.5,11.6,52.8
ホットドッグ,359,11.6,23.4,25.5
チリドッグ,373,13,24,26.5
スパイシーチリドッグ,374,13.1,24,26.6
フレンチフライポテトＳ,170,2.2,7,24.8
フレンチフライポテトＭ,238,3,9.8,34.7
フレンチフライポテトＬ,409,5.2,16.7,59.4
オニオンフライ,219,3.5,12.7,22.8
オニポテ（ポテト＆オニオン）,189,2.6,8.7,25.3
こだわりサラダ ローストアマニトッピング 和風ドレッシング〈減塩タイプ〉,50,1.6,1.9,7.5
こだわりサラダ ローストアマニトッピング,28,1.3,0.9,4.5
和風ドレッシング<減塩タイプ>,22,0.3,1,3
チキンナゲット ５コ入り,195,14.8,10.2,10.9
モスチキン （店舗油調後：可食部１食当たり）,269,15.3,16.6,14.7
モスチキンパック ５本入り （店舗油調後：可食部１食当たり）,1345,76.5,83,73.5
冷凍モスチキン （可食部１００ｇ当たり）,315,14.5,21.7,15.4
チリディップソース,48,3,1.2,6.4
カップハラペーニョ,5,0.2,0.1,0.9
バーベキューソース,25,0.1,0,6
マスタードソース,102,0.4,10.1,2.2
和風ドレッシング<減塩タイプ>,22,0.3,1,3
バラエティパックＡ,1256,17.4,58.8,164.4
バラエティパックＢ（ソース含まず）,1427,43.5,66.5,163.4
日向夏＆レモン ジンジャーエールＳ,111,0.1,0,27.8
日向夏＆レモン ジンジャーエールＭ,165,0.1,0,41.2
日向夏＆レモン ジンジャーエールＬ,252,0.1,0,62.8
まるごと！レモンのジンジャーエール with 日向夏＆レモンソース,172,0.2,0.1,43.7
アイスコーヒーＳ,10,0.4,0.2,2.1
アイスコーヒーＭ,14,0.6,0.3,3.1
アイスコーヒーＬ,22,0.9,0.4,4.7
アイスティー キャンディ茶葉Ｓ,2,0.2,0,0.2
アイスティー キャンディ茶葉Ｍ,2,0.2,0,0.2
アイスティー キャンディ茶葉Ｌ,4,0.4,0,0.4
オレンジブレンド１００ ※みかん果汁入りＳ,92,1,0,22.1
オレンジブレンド１００ ※みかん果汁入りＭ,136,1.4,0,32.5
オレンジブレンド１００ ※みかん果汁入りＬ,208,2.2,0,50
ペプシコーラＳ,87,0,0,21.7
ペプシコーラＭ,129,0,0,31.9
ペプシコーラＬ,198,0,0,49
ジンジャーエールＳ,74,0,0,18.6
ジンジャーエールＭ,109,0,0,27.4
ジンジャーエールＬ,168,0,0,42.1
メロンソーダ（無果汁）Ｓ,87,0,0,22
メロンソーダ（無果汁）Ｍ,129,0,0,32.5
メロンソーダ（無果汁）Ｌ,198,0,0,49.9
アイスウーロン茶Ｓ,0,0,0,0
アイスウーロン茶Ｍ,0,0,0,0
アイスウーロン茶Ｌ,0,0,0,0
アイスカフェラテＳ,69,3.4,3.8,5.1
アイスカフェラテＭ,109,5.4,6.1,8.1
ブレンドコーヒー,5,0.2,0.2,1.3
紅茶 キャンディ茶葉,2,0.2,0,0.2
カフェラテ,72,3.6,4,5.4
まぜるシェイク 日向夏＆レモンＳ,240,2.8,5.3,45
まぜるシェイク 日向夏＆レモンＭ,372,4.4,8.3,69.5
まぜるシェイク 出雲の抹茶Ｓ,218,3.5,5.5,38.6
まぜるシェイク 出雲の抹茶Ｍ,339,5.5,8.5,59.9
モスシェイク バニラＳ,201,3,5.8,34.1
モスシェイク バニラＭ,321,4.7,9.2,54.4
モスシェイク コーヒーＳ,183,2.8,5.2,31
モスシェイク コーヒーＭ,293,4.5,8.3,49.7
くだものと野菜（１２５ml紙パック）,52,0,0,13
モスシュガー,10,0,0,3
ガムシロップ,22,0,0,5.4
コーヒーフレッシュ,10,0.2,1,0.2
コーンスープ 北海道産コーン使用,140,3.6,7.2,15.3
アイスドルチェ いちご練乳ようかん,63,0.8,0.2,14.7
アイスドルチェ 抹茶練乳ようかん,80,1.1,0.4,17.9
アイスドルチェ 5個入りBOX いちご練乳ようかん,317,4,0.9,73.5
アイスドルチェ 5個入りBOX 抹茶練乳ようかん,398,5.6,1.9,89.7
ふんわりスフレパンケーキ<メープルシロップ>,333,5.6,16.7,39.9
