menu_name,calories,protein_g,fat_g,carbs_g
ベーコンエッグサンド,343,13.4,19.8,27
ベーコンエッグチーズサンド,382,15.7,22.9,27.3
たまご＆チーズサンド,221,10,13.3,15.5
たまごチキンカツサンド,450,14.5,24.5,42.9
ベーコンエッグトマレタサンド,348,13.6,19.8,28.2
BLTサンド,272,7.8,20.2,14.9
キッズベーコンエッグサンド,294,13.2,14.8,26.3
キッズベーコンエッグチーズサンド,333,15.6,17.9,26.7
ハッシュポテト,160,1.3,10,16.1
おてがるパンケーキ（２枚） メープルシロップ＆マーガリン付き,180,2.1,6,29.6
メープル風シロップ＆マーガリン,51,0,3.3,5.4
エビバーガー,418,10.9,23.2,41.5
絶品チーズバーガー,515,18.5,36.6,29.4
絶品ベーコンチーズバーガー,565,21,41,29.4
絶品ビーフバーガー,442,14.5,28.5,34.6
旨辛ビーフバーガー,435,15,29,30.2
トマト＆レタス ビーフバーガー,466,15.2,31.5,32.1
牛プルコギバーガー,427,14.7,23.5,39.8
チーズ牛プルコギバーガー,486,18.1,28.6,40.2
ヤンニョムチキンバーガー,510,16.3,29.9,44
チーズヤンニョムチキンバーガー,568,19.7,35,44.4
アボカド絶品チーズバーガー,576,18.4,39.6,40.1
アボカド絶品ビーフバーガー,505,15.1,33.5,39.7
ホットチリミート アボカド絶品ビーフバーガー,531,17.2,35.3,38.1
アボカドエビバーガー,480,11.3,28.2,45.9
ハニーマスタードチキンフィレバーガー,496,18.7,28.1,45.2
旨辛チキンフィレバーガー,456,18.8,23.1,46.7
てりやきチキンカツバーガー,449,12.6,24.1,45.2
トマト＆チーズのチキンカツバーガー,438,13.3,24.1,42.2
チーズエッグバーガー,423,19.6,24.6,29.8
リブサンドポーク,434,19.3,29.1,25.4
てりやきバーガー,388,11.7,22.3,35.2
チーズてりやきバーガー,424,13.8,24.4,35.5
ハンバーガー,270,11.1,11.3,31.1
チーズバーガー,308,13.5,14.4,31.4
キッズチーズバーガー,303,13.3,14.3,30.4
キッズてりやきバーガー,386,11.6,22.2,35.1
トリプル絶品チーズバーガー,1061,43.6,85.1,34.5
キング 絶品チーズバーガー,1334,56.2,109.3,37.1
フレンチフライポテト_S,226,2.6,11.7,28.3
フレンチフライポテト_M,316,3.6,16.4,39.6
フレンチフライポテト_L,515,5.9,26.7,64.5
ふるポテ（ポテトのみ）,316,3.6,16.4,39.6
シーズニング バターしょうゆ風味 （粉のみ）,10,0.6,0.1,1.6
シーズニング 明太子味（粉のみ）,11.3,0.5,0.2,2
シーズニング ホットチリ味（粉のみ）,11,0.5,0.1,2.1
チキンからあげっと（3本入り）,181,5.1,13.7,9.3
バケツポテト,903,10.3,46.9,113.1
バケツポテから,926,16.5,56.6,89.3
ワッフルポテト,144,2,9.3,13
若鶏のフライドチキン,240,14,15.4,14.5
のび～るチーズスティック（2本入り）,211,6.3,14.2,14.6
チュロ（ホワイトシュガー）,210,1.9,11,26.1
チュロ（ココアシュガー）,211,1.9,11.1,25.9
チョコチャンククッキー（プレーン）,263,3.1,10.7,38.8
チョコチャンククッキー（ココア）,263,3.2,10.6,38.6
シェーキ バニラ風味,176,3.7,6,27
シェーキ さくら,200,4.2,6.9,30.4
シェーキ いちご杏仁,230,4.1,6.6,38.7
シェーキ マンゴー杏仁,222,4.1,6.7,36.4
ウーロン茶_S,2,0,0,0.4
ウーロン茶_M,2,0,0,0.5
ウーロン茶_L,3,0,0,0.7
ジンジャーエール_S,84,0,0,21
ジンジャーエール_M,126,0,0,31.5
ジンジャーエール_L,168,0,0,42.1
ペプシ コーラ_S,98,0,0,24.5
ペプシ コーラ_M,147,0,0,36.8
ペプシ コーラ_L,197,0,0,49
ペプシ ゼロ_S,2,0,0,0.4
ペプシ ゼロ_M,3,0,0,0.6
ペプシ ゼロ_L,4,0,0,0.8
メロンソーダ_S,99,0,0,24.9
メロンソーダ_M,149,0,0,37.3
メロンソーダ_L,199,0,0,49.8
アイスティ_S,6,0.1,0,1.5
アイスティ_M,8,0.1,0,2.3
アイスティ_L,11,0.1,0,3
C.C.レモン_S,74,0,0,18.5
C.C.レモン_M,111,0,0,27.8
C.C.レモン_Ｌ,148,0,0,37
セブンアップ_S,103,0,0,25.7
セブンアップ_M,154,0,0,38.6
セブンアップ_L,206,0,0,51.4
トロピカルフルーツソーダ,181,0.4,0,45.2
トロピカルフルーツアイスティー,126,0.5,0,31.3
ダージリンブレンドティー,1,0.1,0,0.1
宇治抹茶ラテ（アイス）,128,1.4,4.1,21.7
宇治抹茶ラテ（ホット）,109,1.2,3.5,18.5
アイスココア,124,1.4,3.5,21.8
ホットココア,106,1.2,3,18.6
りんごジュース,98,0.2,0.4,23.7
