menu_name,calories,protein_g,fat_g,carbs_g
牛丼 小盛,474,15.4,19.6,60.9
牛丼 並盛,633,19.6,23.6,88.2
牛丼 アタマの大盛,725,23,28.8,96.6
牛丼 大盛,823,24.8,29,119.5
牛丼 特盛,"1,006",33.5,44.2,122.3
牛丼 超特盛,"1,159",40.8,56.9,124.6
豚丼小盛,423,10.9,15.4,60.1
豚丼並盛,576,14.4,18.6,88.1
豚丼アタマの大盛,654,16.6,22.6,96.1
豚丼大盛,756,18.6,22.8,120
豚丼特盛,933,25.3,36.7,124.4
豚丼超特盛,"1,044",29.7,44.7,128.7
ねぎ塩豚丼小盛,448,11,17.1,62.7
ねぎ塩豚丼並盛,599,14.2,20.6,90
ねぎ塩豚丼アタマの大盛,684,16.5,24.9,99
ねぎ塩豚丼大盛,769,17.9,24.3,121
ねぎ塩豚丼特盛,971,24.6,40.2,127.1
ねぎ塩豚丼超特盛,"1,079",28.3,48.7,130.1
ねぎ塩牛カルビ丼（成型肉）小盛,548,17.9,26.2,60.7
ねぎ塩牛カルビ丼（成型肉）並盛,722,22.6,31.8,87.6
ねぎ塩牛カルビ丼（成型肉）アタマの大盛,871,28.5,41.7,96.1
ねぎ塩牛カルビ丼（成型肉）大盛,964,30,41.9,118.3
ねぎ塩牛カルビ丼（成型肉）特盛,"1,216",41.3,62.6,122.3
ねぎ塩牛カルビ丼（成型肉）超特盛,"1,396",49.5,77.6,124.3
牛カルビ丼(成型肉)小盛,568,19.2,25.1,67
牛カルビ丼(成型肉)並盛,743,24,30.3,94.7
牛カルビ丼(成型肉)アタマの大盛,893,30.1,40,103.8
牛カルビ丼(成型肉)大盛,987,31.6,40.2,126.1
牛カルビ丼(成型肉)特盛,"1,226",43,59.7,129.6
牛カルビ丼(成型肉)超特盛,"1,392",50.9,74.2,129.6
牛プルコギ丼（成型肉）小盛,597,17,26.9,70.9
牛プルコギ丼（成型肉）並盛,801,22.1,34.1,100.8
牛プルコギ丼（成型肉）アタマの大盛,927,25.9,41.1,112
牛プルコギ丼（成型肉）大盛,"1,020",27.4,41.3,134.2
牛プルコギ丼（成型肉）特盛,"1,341",39.2,66.8,141.9
牛プルコギ丼（成型肉）超特盛,"1,530",45.9,80.7,149.5
牛麦とろ丼並盛,587,18.8,16.6,95.9
牛麦とろ丼大盛,786,25.4,24.6,122.5
新スタミナ超特盛丼（成型肉）（マヨソース含む）,"1,915",66.3,98.5,193.5
鰻重一枚盛,750,34.5,26,99.9
鰻重二枚盛,"1,092",62.1,51.2,103.6
牛皿並盛,281,13.5,22.9,5.2
牛皿大盛,344,16.6,28,6.5
牛皿特盛,532,25.6,43.3,9.9
牛皿ファミリーパック三人前,843,40.6,68.7,15.6
牛皿ファミリーパック四人前,"1,124",54.1,91.6,20.8
豚皿並盛,232,8.9,17.9,6.5
豚皿大盛,288,11.1,21.9,8.7
豚皿特盛,465,17.8,35.8,13.1
牛カルビ皿(成型肉),519,24.1,39.3,14.8
ねぎ塩豚皿,310,10.5,24.2,9.9
ねぎ塩牛カルビ皿（成型肉）,496,22.5,41,7
牛プルコギ皿（成型肉）,552,19.9,40.4,23
鰻皿一枚盛,369,28.3,25.3,9.4
鰻皿二枚盛,711,55.9,50.5,13.2
鰻皿三枚盛,"1,053",83.5,75.7,16.9
牛鮭定食,685,31.8,25,88
牛さば定食,738,26.6,28.5,88
牛カルビ定食（成型肉）,898,31.5,40.7,102.3
ねぎ塩豚定食,689,17.9,25.5,97.6
ねぎ塩牛カルビ定食（成型肉）,876,29.9,42.4,94.5
牛プルコギ定食（成型肉）,942,27.6,41.8,112.2
牛皿定食並盛,719,26.4,29.3,89.5
牛皿定食大盛,783,29.5,34.4,90.7
牛皿定食特盛,970,38.5,49.6,94.2
牛皿麦とろ御膳並盛,705,24.9,24.8,100.9
牛皿麦とろ御膳肉2倍盛,986,38.4,47.7,106
牛たん牛皿御膳牛たん4切,822,25.7,37.7,95.8
牛たん牛皿御膳牛たん8切,"1,046",34.2,57.7,96.3
牛たん麦とろ御膳牛たん4切,693,21.1,23.1,103.5
牛たん麦とろ御膳牛たん8切,917,29.6,43.1,104
鰻重牛小鉢セット一枚盛,928,43.2,38.5,107.7
鰻重牛小鉢セット二枚盛,"1,270",70.8,63.7,111.4
牛皿・牛カルビ定食(成型肉),"1,163",44.4,63.5,104.1
牛皿・ねぎ塩豚定食,955,30.8,48.3,99.3
牛皿・ねぎ塩牛カルビ定食（成型肉）,"1,141",42.8,65.2,96.4
牛皿・から揚げ定食,"1,244",46.7,67.4,112.2
牛皿・牛プルコギ定食（成型肉）,"1,191",39.8,64.5,111.3
納豆定食,544,21.3,11.1,92
焼魚定食（鮭）,501,23.3,9.8,84.8
特朝定食（鮭）,676,37.2,19.6,92.1
塩さば定食,554,18.1,13.2,84.8
